product_desc,category,division,department,qty,true_revenue,total_cost,total_profit,record_count,profit_per_unit,profit_margin_pct,qty_benchmark_median,profit_per_unit_benchmark_median,popularity_index,margin_index,quadrant,recommended_action,profit_contribution_pct,qty_share_pct,revenue_share_pct
MOCHA FRAPP MEDIUM,BEVERAGES,SMALL,TABLE,1783.0,470554.0,130168.89,340385.11,2,190.91,72.34,400.5,156.68,4.45,1.22,star,"Keep quality high, feature prominently, and bundle for upsell.",0.06,0.03,0.06
ADD SMOKED TURKEY,FOOD,SUBS,TAKE AWAY,5374.1,548419.07,213430.14,334988.93,27,62.33,61.08,400.5,156.68,13.42,0.4,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.06,0.08,0.07
DOUBLE ESPRESSO MAC,BEVERAGES,HOT BAR SECTION,TAKE AWAY,2112.0,390924.44,58501.08,332423.36,32,157.4,85.04,400.5,156.68,5.27,1.0,star,"Keep quality high, feature prominently, and bundle for upsell.",0.06,0.03,0.05
CHRISTMAS ORIGINAL ECLAIR,FOOD,FRENCH PASTRY,TAKE AWAY,4814.0,1244229.29,919153.08,325076.21,25,67.53,26.13,400.5,156.68,12.02,0.43,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.07,0.15
BOMBAY CHAI BLACK TEA MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,2808.0,439430.41,115426.81,324003.6,29,115.39,73.73,400.5,156.68,7.01,0.74,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.04,0.05
ADD WHITE MOCHA SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,28140.5,442910.04,120891.58,322018.46,32,11.44,72.71,400.5,156.68,70.26,0.07,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.43,0.05
ICED MATCHA LATTE SMALL,BEVERAGES,MEDIUM,TAKE AWAY,2137.0,418699.27,97718.85,320980.42,3,150.2,76.66,400.5,156.68,5.34,0.96,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.03,0.05
WHITE MOCHA CREAM FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1603.0,410785.98,91597.22,319188.76,26,199.12,77.7,400.5,156.68,4.0,1.27,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.05
WHITE MOCHA FRAPP LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1403.0,410184.58,93877.85,316306.73,25,225.45,77.11,400.5,156.68,3.5,1.44,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.05
SWEET GINGER PEACH BLACK TEA MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,2545.0,406691.54,94262.23,312429.31,25,122.76,76.82,400.5,156.68,6.35,0.78,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.04,0.05
LOTUS BISCUITS,FOOD,FROZEN YOGHURT,TAKE AWAY,5739.0,371119.04,62589.7,308529.34,29,53.76,83.13,400.5,156.68,14.33,0.34,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.09,0.04
SALTED CARAMEL FRAPPE SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1859.0,440435.4,132891.0,307544.4,25,165.44,69.83,400.5,156.68,4.64,1.06,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.03,0.05
VANILLA CREAM FRAPP LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1325.0,381560.45,80575.18,300985.27,24,227.16,78.88,400.5,156.68,3.31,1.45,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.05
CHOCOLATE YOGHURT SMALL,FOOD,FROZEN YOGHURT,TAKE AWAY,1230.17,366563.01,70605.36,295957.65,28,240.58,80.74,400.5,156.68,3.07,1.54,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.04
APPLE JUICE,BEVERAGES,GRAB&GO BEVERAGES,TAKE AWAY,2857.0,482456.46,187034.46,295422.0,30,103.4,61.23,400.5,156.68,7.13,0.66,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.04,0.06
VANILLA FRAP SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1742.0,386963.38,92355.74,294607.64,24,169.12,76.13,400.5,156.68,4.35,1.08,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.03,0.05
ICED WHITE MOCHA,BEVERAGES,COLD BAR SECTION,TABLE,1685.0,339298.77,45380.62,293918.15,1,174.43,86.63,400.5,156.68,4.21,1.11,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.03,0.04
ICED AMERICANO MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,1491.0,346680.9,52904.19,293776.71,2,197.03,84.74,400.5,156.68,3.72,1.26,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.04
PISTACHIO YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,1715.65,851064.58,557972.7,293091.88,20,170.83,34.44,400.5,156.68,4.28,1.09,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.03,0.1
REPLACE ALMOND LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,3097.5,463186.38,173266.39,289919.99,25,93.6,62.59,400.5,156.68,7.73,0.6,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.05,0.06
MATCHA LATTE LARGE,BEVERAGES,HOT BAR SECTION,TAKE AWAY,1624.0,443743.66,155110.55,288633.11,28,177.73,65.05,400.5,156.68,4.05,1.13,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.05
ADD SHOT,BEVERAGES,MEDIUM,TAKE AWAY,11686.0,388500.28,103543.8,284956.48,1,24.38,73.35,400.5,156.68,29.18,0.16,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.18,0.05
BLUEBERRY YOGHURT SMALL,FOOD,FROZEN YOGHURT,TAKE AWAY,1183.8,361319.76,76464.66,284855.1,28,240.63,78.84,400.5,156.68,2.96,1.54,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.04
ICED SALTED CARAMEL LATTE LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1159.0,368195.2,85338.8,282856.4,24,244.05,76.82,400.5,156.68,2.89,1.56,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.04
MARSHMALLOW,FOOD,FROZEN YOGHURT,TAKE AWAY,4921.0,310802.72,29361.97,281440.75,29,57.19,90.55,400.5,156.68,12.29,0.37,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.05,0.08,0.04
ICED TOFFEE NUT LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1362.0,367296.93,90727.61,276569.32,25,203.06,75.3,400.5,156.68,3.4,1.3,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.04
SALTED CARAMEL CREAM FRAPPE MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1364.0,382431.18,107088.09,275343.09,25,201.86,72.0,400.5,156.68,3.41,1.29,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.05
ICED MOCHA MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,1248.0,338313.52,65914.55,272398.97,3,218.27,80.52,400.5,156.68,3.12,1.39,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.04
CHICKEN CAESER SALAD (GRAB&GO),FOOD,GRAB&GO FOOD,TAKE AWAY,1040.0,491683.53,220525.75,271157.78,20,260.73,55.15,400.5,156.68,2.6,1.66,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.06
ICED PEACH TEA MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,1340.0,334289.5,63737.07,270552.43,3,201.9,80.93,400.5,156.68,3.35,1.29,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.02,0.04
OREO CREAM YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,937.0,363963.43,93904.93,270058.5,12,288.22,74.2,400.5,156.68,2.34,1.84,star,"Keep quality high, feature prominently, and bundle for upsell.",0.05,0.01,0.04
MOCHA FRAPP MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,1402.0,371267.69,102353.77,268913.92,2,191.81,72.43,400.5,156.68,3.5,1.22,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
COFFEE FRAPP LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1363.0,351064.24,82418.19,268646.05,28,197.1,76.52,400.5,156.68,3.4,1.26,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
ICED LATTE LARGE,BEVERAGES,MEDIUM,TAKE AWAY,1214.0,325611.78,57364.03,268247.75,3,220.96,82.38,400.5,156.68,3.03,1.41,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
LOTUS YOGHURT COMBO SMALL,FOOD,MEDIUM,TAKE AWAY,1273.0,390161.02,122878.35,267282.67,2,209.96,68.51,400.5,156.68,3.18,1.34,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.05
ICED WHITE MOCHA LARGE,BEVERAGES,MEDIUM,TAKE AWAY,1032.0,310428.76,53474.7,256954.06,3,248.99,82.77,400.5,156.68,2.58,1.59,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
ESPRESSO FRAPP LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1388.0,349506.75,96228.27,253278.48,28,182.48,72.47,400.5,156.68,3.47,1.16,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
VANILLA MUFFIN,FOOD,COFFEE PASTRY,TAKE AWAY,1507.0,290054.02,39718.78,250335.24,19,166.11,86.31,400.5,156.68,3.76,1.06,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.03
BOUMALI CUP,FOOD,GRAB&GO FOOD,TAKE AWAY,3179.0,624064.13,375567.06,248497.07,20,78.17,39.82,400.5,156.68,7.94,0.5,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.05,0.07
CARAMEL FRAPP SMALL,BEVERAGES,MEDIUM,TAKE AWAY,1521.0,332765.47,85743.82,247021.65,1,162.41,74.23,400.5,156.68,3.8,1.04,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
VANILLA CREAM FRAPP MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,1206.0,312744.74,70563.79,242180.95,3,200.81,77.44,400.5,156.68,3.01,1.28,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
HAZELNUT FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1272.0,319768.88,86511.73,233257.15,29,183.38,72.95,400.5,156.68,3.18,1.17,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
POMEGRANATE,FOOD,FROZEN YOGHURT,TAKE AWAY,809.0,287636.64,55065.91,232570.73,1,287.48,80.86,400.5,156.68,2.02,1.83,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.01,0.03
ADD WHIPPED CREAM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,9605.0,316754.26,85105.09,231649.17,32,24.12,73.13,400.5,156.68,23.98,0.15,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.15,0.04
POMEGRANATE YOGHURT COMBO X-LARGE,FOOD,FROZEN YOGHURT,TAKE AWAY,604.7,318366.9,87603.7,230763.2,19,381.62,72.48,400.5,156.68,1.51,2.44,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.01,0.04
PINEAPPLE,FOOD,FROZEN YOGHURT,TAKE AWAY,4837.0,316783.59,88632.0,228151.59,26,47.17,72.02,400.5,156.68,12.08,0.3,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.07,0.04
CHOCOLATE QUELLA CRUNCH,FOOD,FROZEN YOGHURT,TAKE AWAY,5075.5,522929.43,296212.08,226717.35,27,44.67,43.36,400.5,156.68,12.67,0.29,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.08,0.06
ICED CARAMEL MACCHIATO SMALL,BEVERAGES,MEDIUM,TAKE AWAY,1122.0,262474.3,36112.54,226361.76,3,201.75,86.24,400.5,156.68,2.8,1.29,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.03
STRAWBERRY CREAM FRAPP SMALL,BEVERAGES,SMALL,TABLE,1468.0,303909.46,78611.24,225298.22,2,153.47,74.13,400.5,156.68,3.67,0.98,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.02,0.04
ADD VANILLA LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,11085.0,351642.95,127031.76,224611.19,31,20.26,63.87,400.5,156.68,27.68,0.13,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.17,0.04
SINGLE ESPRESSO MACC,BEVERAGES,HOT BAR SECTION,TAKE AWAY,1629.0,252401.01,30149.85,222251.16,29,136.43,88.05,400.5,156.68,4.07,0.87,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.02,0.03
ICED MATCHA LATTE LARGE,BEVERAGES,MEDIUM,TAKE AWAY,1141.0,313089.25,91392.48,221696.77,3,194.3,70.81,400.5,156.68,2.85,1.24,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
HONEY PEANUT ST BITES,FOOD,GRAB&GO FOOD,TAKE AWAY,2012.0,328343.97,108044.4,220299.57,23,109.49,67.09,400.5,156.68,5.02,0.7,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.03,0.04
REPLACE SUGAR FREE OAT SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,3258.5,310317.76,91136.18,219181.58,27,67.26,70.63,400.5,156.68,8.14,0.43,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.05,0.04
LOTUS YOGHURT COMBO,FOOD,FROZEN YOGHURT,Toters,897.0,301268.63,86584.35,214684.28,1,239.34,71.26,400.5,156.68,2.24,1.53,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.01,0.04
SIGNATURE ICED CHOCOLATE MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,1199.0,318952.94,104691.46,214261.48,22,178.7,67.18,400.5,156.68,2.99,1.14,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.02,0.04
ICED AMERICANO SMALL,BEVERAGES,MEDIUM,TAKE AWAY,1467.0,246487.87,32404.9,214082.97,3,145.93,86.85,400.5,156.68,3.66,0.93,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.02,0.03
CHOCOLATE YOGHURT COMBO SMALL,FOOD,MEDIUM,TAKE AWAY,759.1,253760.09,43568.21,210191.88,1,276.9,82.83,400.5,156.68,1.9,1.77,star,"Keep quality high, feature prominently, and bundle for upsell.",0.04,0.01,0.03
LEMONGRASS&ORANGE TEA MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,1835.0,277612.85,67965.12,209647.73,28,114.25,75.52,400.5,156.68,4.58,0.73,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.04,0.03,0.03
SAN BENEDETTO GLASS,BEVERAGES,GRAB&GO BEVERAGES,TAKE AWAY,2225.0,299775.38,90716.88,209058.5,2,93.96,69.74,400.5,156.68,5.56,0.6,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.03,0.04
ORIGINAL YOGHURT MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,854.5,290932.77,86211.51,204721.26,25,239.58,70.37,400.5,156.68,2.13,1.53,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.01,0.03
WHITE MOCHA FRAPP MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,1022.0,261834.83,66032.84,195801.99,3,191.59,74.78,400.5,156.68,2.55,1.22,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.02,0.03
REPLACE SUGAR FREE ALMOND MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,2143.5,274190.62,79295.21,194895.41,24,90.92,71.08,400.5,156.68,5.35,0.58,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.03,0.03
SALTED CARAMEL FRAPPE LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,935.0,294964.85,100711.75,194253.1,22,207.76,65.86,400.5,156.68,2.33,1.33,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.01,0.04
RED VELVET MUFFIN_,FOOD,COFFEE PASTRY,TAKE AWAY,1186.0,237569.38,46362.02,191207.36,30,161.22,80.48,400.5,156.68,2.96,1.03,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.02,0.03
BROWN PULLED BEEF CHIMICHURRI SANDWICH,FOOD,SANDWICHES,TAKE AWAY,671.0,303882.89,113890.1,189992.79,18,283.15,62.52,400.5,156.68,1.68,1.81,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.01,0.04
ADD CHICKEN,FOOD,SUBS,TAKE AWAY,3836.0,532191.41,342461.77,189729.64,24,49.46,35.65,400.5,156.68,9.58,0.32,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.06,0.06
HOUSE BLEND BEANS 250G,BEVERAGES,HOT BAR SECTION,TAKE AWAY,722.37,367089.51,177794.57,189294.94,27,262.05,51.57,400.5,156.68,1.8,1.67,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.01,0.04
SPECIALITY COFFEE ST BITES,FOOD,GRAB&GO FOOD,TAKE AWAY,1719.0,281029.2,92310.3,188718.9,22,109.78,67.15,400.5,156.68,4.29,0.7,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.03,0.03
ADD TUNA,FOOD,SUBS,TAKE AWAY,2094.5,286805.57,100086.45,186719.12,25,89.15,65.1,400.5,156.68,5.23,0.57,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.03,0.03
CHOCOLATE CREAM FRAPP MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,946.0,251345.35,65115.68,186229.67,1,196.86,74.09,400.5,156.68,2.36,1.26,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.01,0.03
ADD HAZELNUT MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,8266.0,264817.2,81378.79,183438.41,33,22.19,69.27,400.5,156.68,20.64,0.14,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.13,0.03
REPLACE ALMOND MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,2292.0,279027.98,99717.91,179310.07,2,78.23,64.26,400.5,156.68,5.72,0.5,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.04,0.03
DOUBLE SHOT SHAKEN SMALL,BEVERAGES,MEDIUM,TAKE AWAY,1718.0,234252.26,54944.07,179308.19,1,104.37,76.54,400.5,156.68,4.29,0.67,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.03,0.03
CARAMEL CREAM FRAPP MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,778.0,206984.98,33054.98,173930.0,1,223.56,84.03,400.5,156.68,1.94,1.43,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.01,0.02
REPLACE 3 SHOT YIRGACHEFFE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,2942.0,189389.17,16588.45,172800.72,25,58.74,91.24,400.5,156.68,7.35,0.37,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.04,0.02
VANILLA CREAM FRAPP SMALL,BEVERAGES,MEDIUM,TAKE AWAY,979.0,215017.71,42767.81,172249.9,3,175.94,80.11,400.5,156.68,2.44,1.12,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.01,0.03
MANGO YOGHURT MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,677.6,230068.01,57918.61,172149.4,28,254.06,74.83,400.5,156.68,1.69,1.62,star,"Keep quality high, feature prominently, and bundle for upsell.",0.03,0.01,0.03
CHOCOLATE SP/MO,FOOD,GRAB&GO FOOD,TAKE AWAY,1190.0,251583.75,90174.21,161409.54,24,135.64,64.16,400.5,156.68,2.97,0.87,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.02,0.03
REPLACE 2 SHOT YIRGACHEFFE,BEVERAGES,MEDIUM,TAKE AWAY,2633.0,170565.16,9897.44,160667.72,2,61.02,94.2,400.5,156.68,6.57,0.39,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.04,0.02
ADD CARAMEL LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,6725.0,216038.62,57800.29,158238.33,33,23.53,73.25,400.5,156.68,16.79,0.15,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.1,0.03
ADD VANILLA SF LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,8792.0,282619.13,126950.63,155668.5,30,17.71,55.08,400.5,156.68,21.95,0.11,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.13,0.03
REPLACE COCONUT LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,3229.5,336126.24,186517.68,149608.56,26,46.33,44.51,400.5,156.68,8.06,0.3,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.03,0.05,0.04
SAN BENEDETTO LEMON,BEVERAGES,GRAB&GO BEVERAGES,TABLE,1191.0,199421.93,51253.49,148168.44,1,124.41,74.3,400.5,156.68,2.97,0.79,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.02,0.02,0.02
TOFFEE NUT LATTE LARGE,BEVERAGES,HOT BAR SECTION,TAKE AWAY,620.0,209731.52,63415.8,146315.72,26,235.99,69.76,400.5,156.68,1.55,1.51,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
HOT DOUBLE SHOT LARGE,BEVERAGES,HOT BAR SECTION,TAKE AWAY,611.0,203667.28,57531.93,146135.35,26,239.17,71.75,400.5,156.68,1.53,1.53,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
ICED CLASSIC CHOC LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,600.0,179143.7,36613.68,142530.02,26,237.55,79.56,400.5,156.68,1.5,1.52,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
TARTE AU CHOCOLAT,FOOD,FRENCH PASTRY,TAKE AWAY,1208.0,305678.92,165777.87,139901.05,20,115.81,45.77,400.5,156.68,3.02,0.74,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.02,0.02,0.04
VANILLA CREAM FRAPP MEDIUM,BEVERAGES,SMALL,TABLE,679.5,176453.09,39757.96,136695.13,2,201.17,77.47,400.5,156.68,1.7,1.28,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
OLIVE CROISSANT,FOOD,CROISSANT,TAKE AWAY,972.0,208061.56,75394.81,132666.75,13,136.49,63.76,400.5,156.68,2.43,0.87,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.02,0.01,0.02
ADD CHOCOLATE DRIZZLE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,4521.0,147366.36,14907.4,132458.96,31,29.3,89.88,400.5,156.68,11.29,0.19,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.02,0.07,0.02
VANILLA FRAPP MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,678.0,175272.98,44735.04,130537.94,3,192.53,74.48,400.5,156.68,1.69,1.23,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
TOFFEENUT FRAP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,615.0,174283.34,46076.9,128206.44,23,208.47,73.56,400.5,156.68,1.54,1.33,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
LOTUS YOGHURT COMBO X-LARGE,FOOD,FROZEN YOGHURT,TAKE AWAY,401.3,210441.17,82501.61,127939.56,21,318.81,60.8,400.5,156.68,1.0,2.03,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.03
MOCHA FRAPP SMALL,BEVERAGES,SMALL,TABLE,798.0,173079.52,46044.74,127034.78,2,159.19,73.4,400.5,156.68,1.99,1.02,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
CAESER SALAD (GRAB&GO),FOOD,GRAB&GO FOOD,TAKE AWAY,380.0,165183.18,38308.38,126874.8,19,333.88,76.81,400.5,156.68,0.95,2.13,puzzle,High unit margin but low demand: improve placement and run targeted promos.,0.02,0.01,0.02
BLUE NADE,BEVERAGES,MEDIUM,TAKE AWAY,634.0,167980.78,42673.49,125307.29,1,197.65,74.6,400.5,156.68,1.58,1.26,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
CARAMEL FRAPP LARGE,BEVERAGES,MEDIUM,TAKE AWAY,529.0,163003.0,37896.49,125106.51,1,236.5,76.75,400.5,156.68,1.32,1.51,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
ESPRESSO FRAPP MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,784.0,168966.97,44024.45,124942.52,1,159.37,73.94,400.5,156.68,1.96,1.02,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
SALTED CARAMEL LATTE LARGE,BEVERAGES,HOT BAR SECTION,TAKE AWAY,513.0,173547.5,49953.25,123594.25,27,240.92,71.22,400.5,156.68,1.28,1.54,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
GREEK SALAD (GRAB&GO),FOOD,GRAB&GO FOOD,TAKE AWAY,352.0,156384.21,32949.49,123434.72,15,350.67,78.93,400.5,156.68,0.88,2.24,puzzle,High unit margin but low demand: improve placement and run targeted promos.,0.02,0.01,0.02
PULLED BEEF CHIMICHURRI SANDWICH,FOOD,SANDWICHES,TAKE AWAY,448.0,189264.87,67913.76,121351.11,20,270.87,64.12,400.5,156.68,1.12,1.73,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
ORIGINAL YOGHURT COMBO X-LARGE,FOOD,SMALL,Toters,298.0,168807.88,48601.76,120206.12,1,403.38,71.21,400.5,156.68,0.74,2.57,puzzle,High unit margin but low demand: improve placement and run targeted promos.,0.02,0.0,0.02
VANILLA FRAPP LARGE,BEVERAGES,COLD BAR SECTION,TAKE AWAY,560.0,158289.2,38237.77,120051.43,24,214.38,75.84,400.5,156.68,1.4,1.37,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
REPLACE 1 SHOT YIRGACHEFFE,BEVERAGES,MEDIUM,TAKE AWAY,1898.0,123315.91,3567.29,119748.62,2,63.09,97.11,400.5,156.68,4.74,0.4,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.02,0.03,0.01
REPLACE COCONUT MEDIUM,BEVERAGES,MEDIUM,TAKE AWAY,2204.0,218625.44,99003.79,119621.65,2,54.27,54.72,400.5,156.68,5.5,0.35,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.02,0.03,0.03
STRAWBERRY CREAM FRAPP LARGE,BEVERAGES,MEDIUM,TAKE AWAY,561.0,160842.95,41359.32,119483.63,3,212.98,74.29,400.5,156.68,1.4,1.36,star,"Keep quality high, feature prominently, and bundle for upsell.",0.02,0.01,0.02
ADD HALLOUM CHEESE,FOOD,SUBS,TAKE AWAY,3182.0,298510.03,179224.08,119285.95,25,37.49,39.96,400.5,156.68,7.95,0.24,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.02,0.05,0.04
